您要办理的那个地址哪里报一下 十七号省军区第六感觉吗稍等一下七 
啊你好就我问一下我这个套餐呃是现在就最低的那个套餐还是多少的 呃是没改是吧 
诶你好诶我我听说有个什么幺三八套餐是不限流量的的上网的是吧 会先给您个月嘛那我我这个怎么就要到营业厅办 
啊那个现在流量有什么套餐啊我每个月流量都用不够 一百八十天六g嘛噢 
喂你好诶请问这个月的流量呃用到那个三十号有现在还有多少的五百五块 是噢那一款现在 
七 我想问一下八十八块钱的套餐是什么样的 
噢那个你帮我查一下我这个月流量好像超了挺没有什么包流量包可以买 诶我好像听说有一个什么二十四块钱三十g的什么包 
呃帮我发一个十块钱的流量套餐好十块钱有有十兆 一百兆 
您好很高兴为您服务诶那个你们这个是不是有推出什么新的套餐是不是 没有它现在不是什么幺三八的幺幺幺三八的不限流量 
哎请问一下有哪个套餐的流量比较多的 我差不多一点呢 
中行喂你好嗯噢我现在就是流量不够用你给我推荐一下有没有比较流量比较多的套餐 这活动就是我现在弄了下个月就有是吗 
你好我想问一下我是本机的那个机主我是八十八的套餐对我刚刚嗯然后我想问一下我们这边八十八的套餐里面的流量是是多少 噢八十八的套餐流量只有三百是吧 
有没什么嗯特价的什么流量套餐 是有容有个有有一个活动的流量 
哎 诶我想请问一下就是说我我我这个手机啊二那个到底到到那个菲律宾头要办什么套餐比较划算办那个流量 
很高兴您服务喂我想问一下现在有没有什么流量想买流量有什么套餐吗 那那个无限流量卡是是这个买 
不要对 诶你好诶你我这个我这个流量每个月不够用有没有什么套餐啊 
那个麻烦帮我看一下那个六十六十块钱的那个六g流量 在诶您现在有能力 
你好我想问一下我你现在是有什么那个流量套餐的吗 嗯就说我想下个月的话你你们这个流量什么那个不一样的吗 
呃您好那个我的套餐那个五这个是省内流量是吗 那我没有我我没有那个国内流量吗 
你好诶去香港的那个套餐有没有啊 没套餐那是怎样收费啊 
好的诶你好我问一下这个现在我这个这张卡有没有漫游 流量的话是省内的这样子没有漫游呀噢没有漫游的对现在就是漫游都左右取消掉了 
晚上好啊喂你好我想问一下你们那边是不是有说剩多少天然后有一个流量包可以可以剩下多少流量然后多少钱的那个流量吗 十块钱一百兆然后已经办过这种的就办不了了是吗 
那是不是有一个八十八套餐然后无限流量啊 一百二百八十八套餐的多少流量 
哎呦 因为我想问一下你那个移动现在是不是有一款八十八套餐的 
诶您好诶我想问一下我现在那个流量还有一个三十块钱的什么什么第二档了什么这个套餐这个我不清楚想问你一下 诶 
诶喂你好我想问一下现在有什么流量的套餐吗这个月的流量已经用完了 噢噢 
不客气 哎银行卡问一下有没有电信的那个网络流量可以 
喂你好 呃就是我想问一下我这个套餐是那个三十八然后再加六块的来电显示什么啊 
你好 我想把那个二十元流量套餐停机了吧 
我问一下我这个要那个流量你们是不是有那个一天一g一块钱那个有没有 哎 
呃我想问一下现在有什么流量包超 呃你说六十块六个g是吧 
诶你好我这个手机的套餐有流量吗每个月有流量送吗 嗯现在还有多少帮我查一下可以吗 
诶你好诶现在有一款新的三十八元套餐有没有啊 您现在开通五十八块多 
能不能我现在还不就是我现在这个手机流量包是怎么回事知道 认证转接好像流量都不够用了 
你好请那个请问一下那个无限量的是一百八十八的那个是套餐是什么流量套餐 全国流量只有两个g省内不限是吧 
对 呃你好你好问一下呃那我现在流量用完了嘛然后我想看一下怎么比较优惠一点的那个流量包和那个加油包的 
喂 诶我我我这个手机里面不够用了还要再买一点啊 
我要申请那个六个月是提车呀有个十块钱六g的流量包是吧呃对 
诶那个现在流量套餐有有什么套餐呐 呃十三块八那我怎么开通 
的 你好小姐 
诶我想问一下这个现在的套餐资费还有其他哪些套餐呐 在网上嘞八十八上面还有了 
呃对现在有什么优惠噢好的 对 
呃我这个手机的那个三十八套餐的是多少分钟 一点五g的那那个五十八的呢 
诶你好 把那个现在不是有个八块钱的套餐吗 
您好请问有什么好喂小姐你好 噢我想我这个手机卡想换一个那个什么三十g流量有什么查了这个 
哎你好我想问一下我这个套餐里面那个宽带宽带他不是说有送是不是 呃对它这个宽带是怎么说呢我这个里面 
噢你好 你好请问一下我这个八十八块钱套餐下个月可以回到最低的套餐是多少 
哎你好我我这个有办一个五八套餐下个月开始的我想聊解好像你们给我发个短信上面写的流量套餐跟他跟我说的不一样 那我 
喂你好我想问一下就是呃是我们现在宽带有一个是幺八八套餐的是吧 噢一百那个那个是需要小区有关光纤的是不是 
嗯我们这边是翔安新店镇吗 
我想问一下有什么那个流量套餐吗 这个月和这个月用的 
您好嗯 呃我看下十块钱一百兆可以吗马上可以用下个月就自动取消 
你好请问我请问请问一下我的这个那个流量是不是在那个漳州内无限量的 我在漳州本本地区的那个无线电脑就我就直接能用不要播超标就这样 
哎你好我想咨询下现在有没有就是那种三十八块钱的套餐可以有一点五g流量还有三百分钟通话 是有这种套餐噢嗯对呀这个是最低的费用是吗 
请问下现在办宽带有什么优惠优惠啊 对 
诶你好 我想问一下呃现在有没有什么飞享新飞享套餐比较好的 
呃我想问一下现在那个流量加油包有什么样的加油包的话 九九十块一百兆是啊 
喂你好 不是想办一张比如说我想办一张的我这个卡绑定了那能不能办 
呃您好我想咨询下现在你们装那个宽带啊的那个套餐是什么啊 呃呃我我是应该是新装你给我查一下宏浴鸿运鸿运鸿宇那个地方是不是都要这个按 
诶你好是这样子的我想问一下我这个套餐流量是因为说我可能要像香港我流量的话人在香港用嘛还有就是如果不能的话我应该怎么办 噢好吧看一下怎么开我应该是费打两天在本月呃如果包 
喂你好 哎你帮我把那个ie的流量包宽带一下 
喂那个你好我想问一下那个省内流量保二档是什么东西啊 免费赠送的是吧那它是每个月都有吗 
诶喂您好有什么可以帮您呃那个二十元的那个流量加油包哎有多少啊 嗯现在没有流量加油包是吧 
喂 诶你好呃这么块钱那个现在六十那个最最便宜的国内流量是多少呃六十块六六六g的那个还有 
哎您好哎你好不是说我现在想开通就是说嗯流量都比较优惠没这么一条 嗯一兆两兆 
喂啊 我想问一下你们现在就是现在移动的有一个五八五八套餐吗是新的五八套餐啊这样那个二零七八这边呃是是套餐情况是怎么样的 
啊我想问一下那个十八元十八元那个套餐嘛不是有一个分钟的那个主播电话吗 但我在在江西他每次那个信息提醒不是说呃都没使用啊零分钟了那什么意思啊 
都天天了诶我想叫你帮我不是现在你们有一个套餐是三十八块钱有三百分钟免费打的吗 对啊这个你能不能帮我开通啊 
喂你好你帮我看一下现在这个全球通有什么新的业务 啊您现在三十八的十八的你帮我看一下 
诶你好我想请问一下现在有没有什么什么流量包比较那个的资费 半年六十就是一个月十块嘛 
你好请问有没有什么网在漫游地网那个流量套餐 就是国内国内 
不要 我这个那个套餐的流量是那个省内流量是吧 
哎你好你能帮我查询下我就一百二十八里面有流量多少通话多少吗 流量三十兆对对对 
喂您好我想那个那个上网那个流量哈那个一天五五百兆啊对啊一元啊一天有五百兆是吧啊有这种卡有没有呢要我现在办理这个一天一元的那种那你那个五百兆有没有时间限制啊 在福州天路由当天永远二十四小时内啊 
诶我这张正常我这个套餐是不是会送一条宽带啊 再见 
你好 诶那怎么怎么转因为那个流量有有什么套餐啊 
哎你好我想问一下就现在不是有一个新的套餐吗也是三十八块然后有送那个三百分钟打电话的 呃那我就不能转那个三十八的吗嗯对是的噢那然后呢还有其他还有什么可以帮您了嗯嗯嗯不用谢谢诶不客气那女士 
你好我想问一下我下个月改成三十八块钱套餐它不是有送有一点五个g的流量吗 啊八十八一点五个g的流量是不是省内可以用的还是只有福州市 
喂你好 咨询一下那个国内的流量套餐 
嗯 诶你好 
啊我要到台湾我要开通什么样的漫游啊 好的 
你好我昨天就是买的那个九块钱那个是什么东西啊 那怎么看了我我看了点开都没有 
关键这个现在我这个七十九套餐的话全国流量有多少 好的 
喂你好就说我那个流量已经用完了开通那个临时那个流量是怎么样的呢 反正我就是这个月月底还还没到月底嘛我就是开始临时用一下 
