喂您好 你帮我查一下我这个手机呃订了哪些套餐能看得出来吗 彩铃六块六块是什么东西啊 什么阅读 
呃您好诶我现在是什么套餐的 呃那个你帮我改一下那个八块钱那种飞享套餐吗嗯 好它里面有包含什么呀 好呃好谢谢那你把那个方式发给我一下 
给给您 对就是我的邮箱账号 应该不是问我自己的邮箱就是我的流量就是我这个手机号码有没有别的什么用的这么快 好好好好好好好谢谢啊 
喂你好我想问一下我上个月有那个咪咕阅读的这个月是自动取消了 嗯嗯 嗯对啊还有没有其他什么业务啊 嗯哼 
喂你好你帮我你帮我看下我的来电提醒也没关掉 哎卡这两个我不知道哎你们 帮我查一下来好吧 啊就是来电显示两个一个月两块钱 
哎帮帮我那个你这个手机现在是套餐是多少 不是八十八的 
喂你好 我问一下我这个手机有没有开通那个校讯通 吧 那如果在厦门的可以开通吗 
呃你好我想问一下我这手机呃有没有办其他什么业务 对对对我好我看一下 一天增值业务没 噢没没 
哦您好高兴您服务喂你好您好请讲我想了解一下我目前使用的那个套餐情况是怎么样的 对它的 不是我是之前就是使用这个套餐的时候就流量很多嘛都用不完但是好像上个月就被扣了三十块的数据流量费然后这个月也扣了好多好像 上个月吗 
你帮我看一下我查有开通什么东西啊怎么那个钱用了这么多啊 我这个流量是有多少啊 一百兆一百兆大概大概有多少是多少一百兆是多少 就m 
你好帮我查一下我那个流量订购订订购了没有成功 三十块移机是吗 让它那里显就显示 下个月呢我我订了我是本月的吗 
您好 哦稍等一下不好意思是你发给我买一个还它那这边有没多收的现在自动好我跟你跟我讲下 嗯就是一是的你好像你们这边不是就是麻烦你帮我查一下这个有什么功能一个套餐给给我哪些 哎你看彩铃 
你好我有我手机上除了可以打电话还有什么东西啊 我这没有开的谁帮我开通 之前因为我没办过活动啊我没有没有没有那我要投诉我之前我没有没办过了要把这钱返给我 嗯可以这样子啊 
诶帮我查下本机其他有什么业务啊 来电提醒呃什么东西啊因为开始用完了 噢这样子是啊 噢 
对这个你看我这卡什么套餐 呃总共多少钱请讲 取消掉吧 别的还能取消吧 
哎喂您好诶帮我查一下我这里面都有什么套餐 呃你把那个彩铃给取消掉 噢可以 嗯还有没有别的套餐 
查到了条查下我这张卡开通什么业务 就基本套餐八月份没有开通过的分钟分钟有多少分钟打 噢啊流量这些都没有噢 嗯转入到外省接是免费的啊 
好其他这边有订购那个三十元什么的帮我取消掉 没 没有对没有它里面有什么增值业务啊 那就是那个帮我取消掉可以啊 
喂你好那个现在那个这个号码有没有开通什么业务 开通什么业务啊 好好 啊不是有一个每个月会自动扣费了一个十五块的那个费用是吧 
嗯哎你好我想问一下我这个手机号码它是这个月是说有变更一个套餐是吗到下个月生效的那个 我想问一下它那个套餐里面都有看是吧 然后别人啊你说 那个电话是省内是两两百分钟是吧 
啊下午好请讲喂你好就是我现在想查一下我这个手机上面的套餐 噢那个我这个通话也没有了 但在国内通话 噢 
喂您好我问我本机现在是什么套餐 连接 啊我我每个月怎么话费手好现在不是我流量是需要多少三十的 诶然后就神州行这个 
喂 哎你好麻烦你帮我看下我这套餐除了以外还有什么增值业务开了帮我看一下 它这个月租一个月多少钱 月租费五块来电显示六块是不是啊 
我想问下我卡这个办理的有什么业务 还有查询彩印 呃帮我彩铃啊彩印说那个给我那个解除掉啊 他 
喂你好帮我本机查一下什么套餐 动感地带十八的 那个除了套餐以外还有什么其他要收费 嗯你帮我那个其他的帮我关掉 
喂你好请帮我查一下我我我这个号码有什么套餐 帮我取消掉那两个那那个夜间的跟跟那个具体具体的都不要对吧那就流量就不结转次月啊 取消掉还有剩下十八元的套餐是不是 挺好 
哦哦 的我问你啊我这一部手机有没有开通这个手机短信 请稍等哦哎 啊对吧 
诶你好麻烦你帮我查一下我现在诶我这个套餐原来是啊一百分钟送一百分钟的现在现在还还有吗 还有还就还有两百分钟啊 噢额外送的那个一百分钟已经没有了啊 那那你流量嘞 
诶你好你能帮我查一下我这是什么套餐吗 一天一g那为什么我每天每个月好像都扣很多 我直接扣噢等下就像这个月一号让我交了两百块它都扣了一百块钱 噢就流量超出去了 
哎你好我想问一下我们现在是使用的什么套餐 那还有没有我家其他的什么说什么什么额外 你好那你其他的跟我说一下我也不知你也 噢那五十块元的那个流量套餐五十月份到需要我打电话我帮您关掉吗对对对 
喂你好呃我想问帮我看一下那个帮我这个查看一下我好像便宜些营业厅办了个幺三八的套餐是啊 呃那个能取消吗 宽带我本来就有宽带啊我原来用的那个宽带的套餐然后是改的那但是后来改他呢还是每个月加二十一块钱才有那个一百兆那我就没有必要这个了我原来也是一百兆的宽带我以为交了以后是那个另外那个二十一块钱就不用出了 那要怎么样它这个要怎么样才能那个或者说要到什么之前开的要要怎么样的 
你好帮我查一下我本机的那个流量上网流量关闭了没有 
哎你好麻烦帮我查一下我这款手机有没有那种十块钱一g啊那种流量都可以加吗 幺现在有时候什么样子的加油包可以 二十三块零一分的 这是最最优惠的就这一款是吧 
哎 呃请问一下我那个有那个安心包的嘛噢 没不知道到一个那个十块钱一百兆然后还送一百兆怎么没有送啊 噢那也就是说现在你帮我查一下这上面那个还有什么是那个需要多少流量啊 
嗯嗯嗯 帮我看一下那个我这个套餐改的是什么套餐啊 呃就三百分钟是用了还是就一年啊 嗯嗯 
喂请问 我这手机有什么这个这个号码有什么业务吗给我查一下 嗯 那流量多少啊嗯 
你好帮我查一下我这手机有什么业务套餐呢 十八块的套餐十八块里面有什么呀 噢就是一百分钟通话和一百分钟的流量是吧 噢那还有其他的吗 
呃您好 呃就是我问一下我这个手机的流量套餐是多少啊 登记的每那为什么我每个月流量都不够用呢 我在省外 
诶你好我想查一下我的流量套餐情况 呃再调低点 可是我刚刚才充值了流量他怎么没有到账啊 找微信 
你请讲我想请问一下昨天就说我办的那个九十九块钱那个宽带跟电话那个有没有办理成功吗 那麻烦你帮我改一下那个套餐是下个月生效是吧 
诶你好 呃我想查一下我我的手机号码的那些都有什么套餐我都不清楚 十五块的什么 咪咕 
我想问一下我现在这手机是什么套餐 那我这套餐里面有什么 其他没有啊 诶那之前不是有三百分钟吗 
喂你好 那个我想问一下我不是开通了一个那个成新的那个四g流量包 然后然后我我今天看看那个什么他可它扣的是我那个另外的流量没没错了视频的流量 我这边看到一个范围了行区腾讯直播嘛那个时候吗然后我查了一下怎么吃了我让你们 
哎你好我想问一下我我现在用的是什么套餐流量 呃五十块钱一个g的流量是那个活动是什么时候结束的 噢那现在还有别的呃流量套餐比较优惠的话可以办理的 这个比较优惠噢这个较贵那行那谢谢哈 
喂你好我那个我这个手机上有一个是动感地带的那个亲情套餐一定版的好像是 套餐 这个可以取消吗 家里我这个它是可选包 
诶你好你帮我查一下我这个手机里面现在还有定什么信息 噢噢噢那个以前有一个什么八块的是校讯通那个 没有了是吗诶那我那你们现个三十八的是两百分钟的通话是吗 呃 
唉呀对 请你帮我查一下我这张卡有没有开通什么其他业务好的 噢好 
哎我问一下我这个不是十八块钱包月的吧是吧 呃按照余额不足之后消费输不进去我交费什么意思了 我们那就不要这个功能啊我说好不好 好好好好 
噢你好我想问一下我的本手机都有什么套餐呐 三块钱手机才有什么东西啊 噢那怎么取消 好那你帮我关闭掉 
喂你好我就想应该以后我这个消费也就干嘛帮我查一下这个开通什么东西昨天交的三十块钱三十块钱进去才有三十多块就是没打两个电话都取消取消取消十五块钱那么多 一月份一百兆二十三块多啊 我这个昨昨昨天昨昨天我交了三十块钱才三十块三十二块多我今天知道三个电话下个月我得比较去了五十五块九啊 啊 
呃我想问一下我那个 这个活动就啊我 那我这个原来是什么套餐呢 二十这个月二十兆本机然后我我本机保底消费多少三八的 
喂你好 那个我那个四g的那个上网套餐嘛我上个月办了一个全家统吗 不是我是要把那个我之前有办理的什么七十块的那种什么流量套餐我就可以取消掉了嘛对啊因为我有全球通那其他的流量没用完不累积到下个月呃没关系 好按我我现在就是流量就只剩全家统的吧其他都没有了吧 
呃你帮我查一下我现在这个套餐是多少流量有多少 噢那通话了 噢我这是这个月刚改过来了吧 噢行行行那我知道了谢谢啊 
你好嗯就是帮我查一下我这个号码嗯里面有没有开通什么那种数据流量的 都没有是吗 噢好好好好 嗯没有了 
喂你好 你帮我查一下我这手机有什么套餐啊 噢没有没有 
嗯请问一下我这个这个套餐那个有多少 然人工目前有多少 嗯那我不要八十八的就就这个 行吗 
喂你好那个我那个下个月是不是换了一个那个套餐帮我查一下 呃把那个取消掉吧因为我不在那个省内的流量用不了然后我就帮您 对对对就剩一个五十块的 呃对 
