你好请讲其他 喂您好 先生嗯请讲 你帮我查一下我这个手机呃订了哪些套餐能看得出来吗 
你好您好请问什么可以帮助您 哎你好我想查一下我的套餐是不是那个福州的校园套餐 对四十八元校园套餐然后归属地是福州的是吧对是的 诶好的那谢谢啊 
您好高兴服务 呃七十块流量什么时候到期啊 哦稍等一下呃这个月最后一个月下个月会自动取消 下个月自动取消 
您好请讲 喂你好 诶您好请说 噢我说呃我这个套餐能不能现在有什么套餐啊怎么样半个月套餐啊 
喂你好你能帮我看一下我这个这个号码是不是有个呼叫转移 请稍等 好基本套餐是什么东西 我也有转接那个幺八五号码上取消掉是吗 
你好你好你好请问一下帮我查一下这边有什么套餐吗 好的请稍等一下 嗯嗯 那感谢耐心等待呃您这边的话就基本套餐十八块钱的来电提醒两块钱彩印三块钱的那这个如果彩印不用的话可以帮您取消掉一下 
你好请说 你好我这好像我的套餐好像是二八套餐是吧 对那个好像我看到一种什么新飞享三八套餐二零一七版这个我可以办理吗可以我这边可以帮您直接改下个月生效它是一g零五百一十二兆流量是吧一点五g的流量三百兆一点五g三百分钟嗯就是三十八块钱这个我好像自己在微信上也可以改吧好像是可以啊 正常 
帮您 您好请说 哎你好我想问一下我现在这个套餐是多少套餐啊 您用的是一个八十八的一个信那个什么飞享的八十八套餐就是有两百二十分钟七百兆流量的这一种 
您好请讲 诶我这个手机号码就现在开通什么业务号码办法就是 我看一下您现在用的是五十八元套餐 嗯其他没有其他的要 
您好请说 你好我想咨询下我本机的办理的什么套餐呀 您稍等我帮您查一下哈女士 好嘞谢谢 
那您是有是您讲合 帮我查一下看我这个就是办那个流量套餐还有什么套餐啊另外办的除了套餐套餐以外的啊 您现在您的八十八的套餐然后您的流量套餐来电提醒功能啊您其他的话这边帮您查看一下没有 你帮我查一下 
诶你好喂你好你看我里面二彩彩铃彩印还有那个彩铃彩印还有个什么咪咕是吧 恩 彩印跟来电提醒帮我取消一下好请稍等正在帮您办理好的请问除了那个基本包就把我那个其他的都取消掉噢 嗯正在帮您查询一下有什么东西啊请不要挂机好的 
您好请讲 噢你好我想问一下我现在这个手机卡的套餐是什么套餐 您现在用的是二十八元的套餐 二十八元的套餐那能不能帮我改成十八元的套餐 
您好请讲 哎你好我想查一下我这个手机都有什么呃办理什么业务 对啊项业务目前就基本套餐包是三十八块钱的然后还开了一个流量包二十块钱的 二十块那我每个月大概都花了多少钱了我感觉我都不清楚的 
您好很高兴为您服务 喂你好 你好 我现在这个套餐是幺三八一四版的是不是啊 
哎再见您好很高兴您服务 哎你好今天早上那个有一个电话给我打电话说我原来那个就三十多块钱那个套餐呢他给我改成了五十八块钱一个月然后我就想问一下我这边还有没什么流量套餐了我想把它停掉下个月 您这张卡的流量套餐已经有登记取消过了 呃没有别的就是那种流量包没流量每个月的那种没有了是吧 
您好请说喂你好请问你好 呃这边有一个套餐是不是要到期了那个 我帮您看一下您稍等 好的谢谢 
您好请说 诶你好问一下我这个是不是有有办了一个那个来电显示啊业务 我看一下没有噢来电显示有啊那这个是包含在上您套餐里面的一个业务并没有另外收费 就就是我看我看到我查了一下我看他一定一五零七年有办了一个呃是来电显示一个月六块钱这个还有吗 
您好请讲 喂你好诶我这个号码有什么业务套餐呐 就是您的动感地带三十八套餐外加一个两块钱来电提醒 没有其他的吗 
嗯 您好请说 喂你好 诶您好 
您好请讲 帮我查一下嗯套餐有没有恢复到原来的套餐三八套餐 诶三十八元干嘛 六但是前两天不是有人打电话就要改套餐嘛然后我叫他帮我 
哎您好您请讲 喂 您好您说 呃就是说我这个手机除了正常的使用套餐之外还有什么 
您好什么需要帮助 诶你好我想查一下我就是这个号码现在有什么套餐就包括流量套餐的能帮我看一下 可以没问题您在本卡收费的就是十三块钱的套餐另外的话是里面送省内流量三百兆然后您有办一个七十块钱两个g的流量包还有两块钱的来电提醒六块钱的来电显示一块钱的短信回执三块钱的家庭网 还有没 
不是您好很高兴为您服务 想问一下我这个卡是什么套餐 呃目前是新飞享三十八元套餐哎 三十八元套餐你看有没有什么别的套餐套餐之外的一些费用 
还有什么可以帮您 喂你好你我想问问一下请问一下 嗯 就是我不是这个月开通把下个月开通了一个一百八十八的全球通套餐吗 
您好请讲喂你好 那个你好我想查询一下我这个手机的什么套餐 除了一下这个七十九套餐以外有个五十元的流量包然后有个来电提醒还有彩铃 那我可以把那个五十元的流量包都取消掉吗 
您好请讲 喂你好我想请问一下我现在这个是什么套餐 五十八块钱的飞享套餐它是新版的四百分钟三个g的这样我都没噢好好好谢谢可以不客气那还有什么可以帮助您吗 没走 
您好请说 诶你好哎嗯没了呃就是我这里面有开通那个呃呃那些什么游戏啊什么七七八八的帮我全部那个东西啊 游戏你上车您自己三十八元的套餐然后有个五块钱的游戏我帮您取消了还有什么疑问取消 还有什么彩铃啊什么反正只要只要有一个来电提醒显示就功能就可以其他的全部不要 
您好什么可以帮助您早上好 呃我这个手机里面就那个九块的套餐是吧一个月也要几十块的到底有什么功能帮我关掉 您稍等一下噢我冒昧的问一下您您的手机平常是不是有玩游戏啊 小孩子不懂女人完你帮我看一下就 
您好请说 一年那我问你啊就是说我这个现在不是办了一个无线流量流量卡嘛送五十g的 五十g的 啊你帮我查一下请问一下这里 
你好有什么可以帮您 关联喂你好帮我查一下我现在是什么套餐 您现在是商旅的八十八元的套餐 不小心好像八十八在您龙岩另外你再说一遍我刚才没听到不好意思 
您好请讲 诶你好我问一下我这个套餐还是三十八的套餐吧 对 那刚才什么移动公司打电话说我是八十八的套餐是从下个月起吗 
其他您好请说 我开通了什么套餐流量 您这个是五十八的新飞享套餐 对 
嗯您好很高兴为您服务 喂你好 你好 我这个手机号码是有一个教育园什么平台是不是啊 
您好很高兴为您服务 你帮我看一下我这个是不是开通了一个夜间包了 流量稍等我看一下给您看了您这边是有一个夜间流量包要取消吗取消之后剩余的不能累积下个月 取消了下个月不用了以后不用了 
您好请说 喂你好诶请问下我这手机是办了一个两城一加新的套餐是吧 没有呀现在两城一家已经停办了不需要两城一家了 好的现在这个自动取消的吗 
您好您说 你好我想知道一下我就就是这个卡号办理哪些业务 这个卡号是吗 对对 
嗯请问一下我的哎你好我我想问一下我那个手机有没有什么流量套餐的 嗯流量是吧 呃那个套餐的 有啊你除了月租五十元两g之外之前有开一个三十元那个五百兆流量啊 
嗯嗯您好请说 诶你好哎能不能帮我查一下我手机有办什么业务吗 嗯嗯呃您手机除了一个三十八套餐然后我帮您再确认一下嗯恩除了三十八套餐还有一个呃那个房地产的那个啊vip集团网每个月收您两块钱 噢没有了没有了吧嗯没有啊啊那那个下个月开始是不是五十八块钱的套餐嘛 
嗯啊您好请说 哎你好停了那个看看这个套餐都是开通什么那个尊享包什么尊享包 我帮您看一下 行好 
您好请讲吗 喂你好请帮我查一下还没什么的都取消掉 彩铃这些业务要取消是吧对就彩铃嘛嗯稍等哈我看您这边没有彩铃的业务呀没有吗对这边上面查了一下没有彩铃的业务 噢没有啊 
你好请说 哎你好我那个套餐现在帮我查一下已经改过来没有 我给您发过去的你好先生改好了下个月生效 那我里面那个发什么短信过来说什么一大堆的让我去去就有没有 
您好请问需要什么帮助噢我本机是什么套餐 本机用的是商旅五十八套餐 噢帮我改回原那个新飞享五八吗 新飞享五八针对五十块以下客户办理您要改就改新飞享八十八 
您好很高兴为您服务 喂你好 诶先生您好请问咨询什么问题 我想查一下我这手机有哪些那个增值业务啊 
中午好 诶你好我想查一下我这个流量是流量包是吧元流量 它 为什么我现在嗯是每个月没事每天都有一千兆是吧 
你好 诶你好呃帮我查一下我这个号码里面有什么套餐 基本的话一个是月租费十八块 基本月租费十八块 
您好请讲 啊哎你好哇流量呃我问一下我这个呃现在我用的卡有有有什么业务啊 套餐三十八除此之外您有的业务就是一个噢三十块钱流量包来电提醒以及有彩铃然后有一个流量活动其他就没有了 三十块钱流量包是多少钱的 
您好请说 诶小姐我想问一下我本机套餐是多少 八十八的 二十八那个流量是分钟数是多少啊 
您好很高兴为您服务那 再见 喂你好请问有什么可以帮您 请问一下我那个套餐有多少的套餐啊 
呃您好什么帮到您 你好 我想问一下我在现在手机里帮我办一下那个 现在我是办一个月三十八块的那个套餐吗 
